Date,Price,Open,High,Low,Vol.,Change %
30-Oct-19,2.63,2.62,2.64,2.62,108.74K,0.38%
29-Oct-19,2.62,2.65,2.66,2.62,656.33K,-1.13%
28-Oct-19,2.65,2.62,2.65,2.62,923.48K,0.38%
27-Oct-19,2.64,2.63,2.65,2.63,2.54M,1.15%
24-Oct-19,2.61,2.62,2.64,2.61,592.20K,0.00%
23-Oct-19,2.61,2.64,2.64,2.61,129.22K,0.00%
22-Oct-19,2.61,2.62,2.64,2.61,1.07M,-0.38%
21-Oct-19,2.62,2.63,2.63,2.62,1.08M,0.38%
20-Oct-19,2.61,2.61,2.61,2.61,237.59K,0.00%
17-Oct-19,2.61,2.64,2.64,2.59,1.53M,0.77%
16-Oct-19,2.59,2.6,2.61,2.59,847.58K,-0.38%
15-Oct-19,2.6,2.65,2.65,2.6,1.69M,-1.14%
14-Oct-19,2.63,2.65,2.65,2.63,216.94K,0.00%
13-Oct-19,2.63,2.66,2.66,2.63,492.11K,-1.13%
10-Oct-19,2.66,2.63,2.67,2.63,207.94K,0.76%
9-Oct-19,2.64,2.63,2.66,2.63,336.27K,0.38%
8-Oct-19,2.63,2.63,2.64,2.62,168.33K,-2.59%
7-Oct-19,2.7,2.73,2.73,2.7,2.13M,-1.10%
6-Oct-19,2.73,2.69,2.73,2.68,2.11M,1.87%
3-Oct-19,2.68,2.66,2.68,2.66,1.21M,-0.37%
2-Oct-19,2.69,2.69,2.69,2.66,6.30M,0.00%
1-Oct-19,2.69,2.67,2.69,2.67,2.56M,0.75%
30-Sep-19,2.67,2.69,2.69,2.66,3.38M,0.75%
29-Sep-19,2.65,2.65,2.68,2.65,435.48K,-1.12%
26-Sep-19,2.68,2.65,2.69,2.65,2.81M,1.13%
25-Sep-19,2.65,2.65,2.68,2.65,3.03M,0.00%
24-Sep-19,2.65,2.65,2.68,2.65,427.55K,0.38%
23-Sep-19,2.64,2.66,2.7,2.64,2.79M,-1.12%
22-Sep-19,2.67,2.62,2.69,2.62,616.05K,1.91%
19-Sep-19,2.62,2.67,2.67,2.62,41.44M,-2.24%
18-Sep-19,2.68,2.69,2.7,2.68,1.23M,0.75%
17-Sep-19,2.66,2.69,2.69,2.66,3.84M,-0.37%
16-Sep-19,2.67,2.69,2.69,2.67,1.08M,0.38%
15-Sep-19,2.66,2.65,2.69,2.64,476.20K,0.38%
12-Sep-19,2.65,2.69,2.7,2.65,5.56M,-1.85%
11-Sep-19,2.7,2.69,2.7,2.69,2.61M,0.00%
10-Sep-19,2.7,2.71,2.71,2.69,4.91M,0.75%
9-Sep-19,2.68,2.69,2.7,2.67,3.27M,0.00%
8-Sep-19,2.68,2.68,2.68,2.68,83.75K,-0.74%
5-Sep-19,2.7,2.7,2.7,2.69,767.41K,0.00%
4-Sep-19,2.7,2.67,2.7,2.67,8.59M,1.89%
3-Sep-19,2.65,2.67,2.67,2.65,836.19K,-0.75%
2-Sep-19,2.67,2.67,2.7,2.66,11.91M,1.14%
